por	pob
Ou se sangre , ou se naõ sangre , pôr-se-ha o doente nos primeiros dous , ou tres dias no uso de huma das tisanas do N.º 5. , e tomará de manhã ; e de tarde , ou depois de cada crescimento huma mezinha feita do cozimento emolliente do N. 4. , ou simplesmente de agoa quente , a que se ajuntará huma , ou duas colheres de azeite , e outro tanto de vinagre , ainda que o doente mesmo obre naturalmente , tomara de quatro em quatro horas hum cópo de creme de arrôz , ou de panada , eu prefiro o creme de arrôz , e o paõ lavado , ou panada , ao caldo ; isto naõ he sem razaõ ; porque todos os Professores hoje em dia estaõ convencidos , de que os succos , que se extrahem da carne , se corrompem com mais facilidade no estomago de huma pessoa , que tem febre , do que os que saõ extrahidos dos vegetaes .	Ou se sangre, ou se não sangre, pôr-se-á o doente nos primeiros dois, ou três dias no uso de uma das tisanas do N.º 5., e tomará de manhã; e de tarde, ou depois de cada crescimento uma mesinha feita do cozimento emoliente do N. 4., ou simplesmente de água quente, a que se ajuntará uma, ou duas colheres de azeite, e outro tanto de vinagre, ainda que o doente mesmo obre naturalmente, tomara de quatro em quatro horas um copo de creme de arroz, ou de panada, eu prefiro o creme de arroz, e o pão lavado, ou panada, ao caldo; isto não é sem razão; porque todos os Professores hoje em dia estão convencidos, de que os sucos, que se extraem da carne, se corrompem com mais facilidade no estômago de uma pessoa, que tem febre, do que os que são extraídos dos vegetais.
CAPITULO XLIII .	CAPÍTULO XLIII.
Deve o bom Enfermeiro examinar todos os dias a ourina do enfermo ; e se lhe faltar a experiencia , he preciso que quando o Medico a veja , repare os termos , com que a capitula ; porque ouvindo dizer que as de hum enfermo tem perdido alguns sinaes de cozimento , e a este tal enfermo lhe vier hum suor quente , que lhe occupe todo o corpo , e que as gotas saõ redondas , deve o Enfermeiro conservar este suor ao enfermo por tempo de huma hora , se tiver forças ; e se as naõ tiver , seja menos tempo .	Deve o bom Enfermeiro examinar todos os dias a urina do enfermo; e se lhe faltar a experiência, é preciso que quando o Médico a veja, repare os termos, com que a capitula; porque ouvindo dizer que as de um enfermo tem perdido alguns sinais de cozimento, e a este tal enfermo lhe vier um suor quente, que lhe ocupe todo o corpo, e que as gotas são redondas, deve o Enfermeiro conservar este suor ao enfermo por tempo de uma hora, se tiver forças; e se as não tiver, seja menos tempo.
Sangrar aos enfermos como , e quando ha de ser , e regimento , que se ha de observar .	Sangrar aos enfermos como, e quando há de ser, e regimento, que se há de observar.
Acabado o termo destas evacuações , estando capaz de se lavar o enfermo , se fará hum cozimento de rosas , alecrim , murta , folhas , e maçãs de cypreste , folhas de cana verde , e huma boneca de cinza de vides ; e com o mesmo recolhimento , que se deraõ as unturas , principiará o enfermo a lavar o rosto , e partes superiores com o cozimento quente ; e estando frio , se lançará fóra , e com outra porçaõ quente se lavaráõ as partes inferiores ; e limpo o enfermo , vestirá roupa lavada , e entrará no regimento seco , conforme o Cirurgiaõ determinar , que podendo jà mastigar , será carneiro assado , galinha , e toda a ave de penna , passas , amendoas , mas naõ em muita quantidade .	Acabado o termo destas evacuações, estando capaz de se lavar o enfermo, se fará um cozimento de rosas, alecrim, murta, folhas, e maçãs de cipreste, folhas de cana verde, e uma boneca de cinza de vides; e com o mesmo recolhimento, que se deram as unturas, principiará o enfermo a lavar o rosto, e partes superiores com o cozimento quente; e estando frio, se lançará fora, e com outra porção quente se lavarão as partes inferiores; e limpo o enfermo, vestirá roupa lavada, e entrará no regimento seco, conforme o Cirurgião determinar, que podendo já mastigar, será carneiro assado, galinha, e toda a ave de pena, passas, amêndoas, mas não em muita quantidade.
As ourinas saõ claras como agoa pura , e naõ depõe couza alguma no fundo do valo ; os doentes tem algumas vezes solturas de ventre , e as materias , que lançaõ saõ amarellas , verdes , ou negras , e exhalaõ hum cheiro cadaverico ; as verdes saõ mais más , que as amarellas , e as negras saõ mais más , que as verdes ; se este fluxo de ventre os naõ allivia , entaõ acabaõ bem depressa os tristes dias de sua vida .	As urinas são claras como água pura, e não depõe coisa alguma no fundo do valo; os doentes têm algumas vezes solturas de ventre, e as matérias, que lançam são amarelas, verdes, ou negras, e exalam um cheiro cadavérico; as verdes são mais más, que as amarelas, e as negras são mais más, que as verdes; se este fluxo de ventre os não alivia, então acabam bem depressa os tristes dias de sua vida.
Em confirmação desta verdade pudera repetir muitos exemplos assim dos seculos passados , como dos seculos  presentes ; mas he escusado buscar exemplos de fora , quando nos sobejaõ os que temos de casa ; & por naõ ser importuno , nem infinito em repetir exemplos , baste por todos o seguinte ; pelo qual mostrarei com toda a evidencia , quam errados vaõ aquelles Medicos , & em que precipicios despenhaõ aos doentes , que tendo os estomagos cheyos de cruezas , ou humor, os sangraõ , sem os purgar primeiro .	Em confirmação desta verdade pudera repetir muitos exemplos assim dos séculos passados, como dos séculos presentes; mas é escusado buscar exemplos de fora, quando nos sobejam os que temos de casa; e por não ser importuno, nem infinito em repetir exemplos, baste por todos o seguinte; pelo qual mostrarei com toda a evidência, quão errados vão aqueles Médicos, e em que precipícios despenham aos doentes, que tendo os estômagos cheios de cruezas, ou humor, os sangram, sem os purgar primeiro.
Vomitorio segundo .	Vomitório segundo.
Primeiramente lhe dareis agoa tibia sómente , que estando inclinado a vomitar , he o que basta para o effeito .	Primeiramente lhe dareis água tíbia somente, que estando inclinado a vomitar, é o que basta para o efeito.
Observa-se , que certos doentes se fazem surdos no decurso da doença ; se tornaõ a recobrar o ouvido , isto he ordinariamente hum bom signal , do mesmo modo que se a doença se prolongar até além dos quatorze dias ; pois entaõ pode-se esperar muito pela cura da molestia .	Observa-se, que certos doentes se fazem surdos no decurso da doença; se tornam a recobrar o ouvido, isto é ordinariamente um bom sinal, do mesmo modo que se a doença se prolongar até além dos quatorze dias; pois então pode-se esperar muito pela cura da moléstia.
Aos hydropicos se fará a untura com a maõ, carregando-a bem , para que se encorpore; porèm se o estomago do enfermo estiver inflammado , se fará com gadelha de lã brandamente.	Aos hidrópicos se fará a untura com a mão, carregando-a bem, para que se incorpore; porém se o estômago do enfermo estiver inflamado, se fará com gadelha de lã brandamente.
CAPITULO XLI .	CAPÍTULO XLI.
Ha com tudo certos casos particulares , no que propriamente se chama Pleuriz , que se naõ observaõ na peripneumonia , e que eu agora vou a examinar miudamente .	Há com tudo certos casos particulares, no que propriamente se chama Pleuris, que se não observam na peripneumonia, e que eu agora vou a examinar miudamente.
Agoa como , e quando se ha de dar ao enfermo .	Água como, e quando se há de dar ao enfermo.
CAPITULO XLVI .	CAPÍTULO XLVI.
CAPITULO XLVIII .	CAPÍTULO XLVIII.
Escremento de ratos em pó , bebido em vinho branco , he muy singular remedio, e provocativo a vomitar .	Excremento de ratos em pó, bebido em vinho branco, é muito singular remédio, e provocativo a vomitar.
A attençaõ mais essencial , que os Marinheiros devem ter para evitar as febres podres , e remittentes , he o vigiar sobre a sua transpiraçaõ ; porque he de facto , que estas febres na atacaõ senaõ por occasiaõ de huma transpiraçaõ embaraçada ; he verdade , que a saburra predispõe a faze-las mais fumestas , mas sempre he verdade o dizer , que o humor da transpiraçaõ embaraçada he a principal causa dellas .	A atenção mais essencial, que os Marinheiros devem ter para evitar as febres podres, e remitentes, é o vigiar sobre a sua transpiração; porque é de fato, que estas febres na atacam senão por ocasião de uma transpiração embaraçada; é verdade, que a saburra predispõe a fazê-las mais funestas, mas sempre é verdade o dizer, que o humor da transpiração embaraçada é a principal causa delas.
Para se tomar com facilidade , e que possa aproveitar ao enfermo , lhe poreis ao enfermo junto da cama o vaso , que tiver o lambedor , com huma raiz de alcaçus machocada na ponta , e chupando nella de quarto a quarto de hora , lhe fará proveito .	Para se tomar com facilidade, e que possa aproveitar ao enfermo, lhe poreis ao enfermo junto da cama o vaso, que tiver o lambedor, com uma raiz de alcaçus machucada na ponta, e chupando nela de quarto a quarto de hora, lhe fará proveito.
CAPITULO XIII .	CAPÍTULO XIII.
Outras vezes costumaõ ser os suores differentes , a que os Medicos chamaõ diaforeticos , os quaes começaõ por hum suor frio , e pegajoso , a cujo enfermo se lhe vaõ logo enfraquecendo os pulsos , os quaes se põem como untados de azeite, quando este suor principia .	Outras vezes costumam ser os suores diferentes, a que os Médicos chamam diaforéticos, os quais começam por um suor frio, e pegajoso, a cujo enfermo se lhe vão logo enfraquecendo os pulsos, os quais se põem como untados de azeite, quando este suor principia.
Se o enfermo estiver fraco , póde tomar hum caldo de galinha antes da sangria , e o cordial depois della .	Se o enfermo estiver fraco, pode tomar um caldo de galinha antes da sangria, e o cordial depois dela.
( Vêde aqui adiante o Capitulo , que trata desta doença . ) Com tudo tomo he raro , que a peripneumonia ; ou o pleuriz podre , e bilioso , venhaõ sem alguma inflammaçaõ , o que se conhecerá pela força , e dureza de pulso , por isso cuidar-se-ha de a combater com huma , ou duas sangrias , feitas nos primeiros dias da doença ; estas naõ se devem fazer taõ largas , como se costuma fazer na peripneumonia , ou plenriz inflammatorio , pelo receio de occasionar maior accumalaçaõ de humores no bofe ; mas só em vista de alliviar os vasos sanguíneos , e de amollecer o pulo .	(Vede aqui adiante o Capítulo, que trata desta doença.) Com tudo como é raro, que a peripneumonia; ou o Pleuris podre, e bilioso, venham sem alguma inflamação, o que se conhecerá pela força, e dureza de pulso, por isso cuidar-se-á de a combater com uma, ou duas sangrias, feitas nos primeiros dias da doença; estas não se devem fazer tão largas, como se costuma fazer na peripneumonia, ou Pleuris inflamatório, pelo receio de ocasionar maior acumulação de humores no bofe; mas só em vista de aliviar os vasos sanguíneos, e de amolecer o pulo.
Se todos os remedios , que eu tenho indicado obrarem para bem , achar-se-haõ cada vez melhor de hum dia para outro ; assim desde que se conhecer esta melhora , dar-se-lhe-ha por todo o remedio cada dia huma porçaõ dos pós do N.31. , até que a febre tenha parado ; entaõ purgar-se-haõ os doentes com o laxante do N. 14. , e depois por-se-haõ na dieta dos convalescentes .	Se todos os remédios, que eu tenho indicado obrarem para bem, achar-se-ão cada vez melhor de um dia para outro; assim desde que se conhecer esta melhora, dar-se-lhe-á por todo o remédio cada dia uma porção dos pós do N.31., até que a febre tenha parado; então purgar-se-ão os doentes com o laxante do N. 14., e depois pôr-se-ão na dieta dos convalescentes.
CAPITULO IV.	CAPÍTULO IV.
Banhos como se devem fazer.	Banhos como se devem fazer.
Até mesmo he raro , que ellas venhaõ huma sem a outra , e se naõ compliquem juntamente ; a unica diferença , que acha , he , que no pleuriz sentem os doentes sobre hum dos lados do peito por cima , ou por baixo da mamma , huma dôr muito viva , aguda , ou punctoria , que se chama pontada do lado .	Até mesmo é raro, que elas venham uma sem a outra, e se não compliquem juntamente; a única diferença, que acha, é, que no Pleuris sentem os doentes sobre um dos lados do peito por cima, ou por baixo da mama, uma dor muito viva, aguda, ou punctória, que se chama pontada do lado.
Depois que o vomitorio tiver produzido o effeito desejado , achar-se-haõ os doentes muito melhor ; passado o dia seguinte purgar-se-ha logo no outro com o remedio do N. 14.	Depois que o vomitório tiver produzido o efeito desejado, achar-se-ão os doentes muito melhor; passado o dia seguinte purgar-se-á logo no outro com o remédio do N. 14.
